time,seconds_elapsed,z,y,x
1772363475041803000,0.127802978515625,0.008486892096698284,0.025228705257177353,-0.030793773010373116
1772363475051871700,0.137871826171875,0.003493998199701309,0.032333485782146454,-0.025857869535684586
1772363475061941800,0.147941650390625,-0.006690099835395813,0.03277231752872467,-0.019272860139608383
1772363475072010800,0.1580107421875,-0.008951122872531414,0.030994126573204994,-0.010875381529331207
1772363475082080800,0.168080810546875,-0.009063705801963806,0.024251718074083328,0.000185355544090271
1772363475092149800,0.178149658203125,-0.003562946803867817,0.016409507021307945,0.009029713459312916
1772363475102219800,0.1882197265625,0.00261717289686203,0.012418506667017937,0.01545784156769514
1772363475112288800,0.198288818359375,0.005451042205095291,0.013857146725058556,0.02504069358110428
1772363475122358800,0.20835888671875,0.01163073442876339,0.03273078799247742,0.037340931594371796
1772363475132428000,0.218427978515625,0.009714324027299881,0.051613666117191315,0.02719774842262268
1772363475142497800,0.228497802734375,0.01042713038623333,0.019027575850486755,0.013441221788525581
1772363475152566800,0.23856689453125,0.01680620014667511,0.004361015744507313,0.017013851553201675
1772363475162636800,0.24863671875,0.01714780367910862,0.030704108998179436,0.02336527779698372
1772363475172705800,0.258705810546875,0.018218927085399628,0.0476338192820549,0.01741470769047737
1772363475182775800,0.26877587890625,0.012381333857774734,0.03824238106608391,0.013679510913789272
1772363475192844800,0.2788447265625,0.007761548273265362,0.02297048456966877,0.013372448273003101
1772363475202914800,0.288914794921875,0.004491525702178478,0.022387292236089706,0.019543271511793137
1772363475212984800,0.29898486328125,0.0003580334596335888,0.020093247294425964,0.03552676737308502
1772363475223053800,0.3090537109375,0.0004422334022819996,0.011456026695668697,0.04110683128237724
1772363475233123800,0.319123779296875,-0.004530155099928379,0.0019275019876658916,0.04992828518152237
1772363475243192800,0.32919287109375,-0.002679476048797369,0.002779056318104267,0.04889972507953644
1772363475253262800,0.339262939453125,-0.008148277178406715,0.0010754321701824665,0.043169133365154266
1772363475263331800,0.349331787109375,-0.01973489299416542,-0.0071769049391150475,0.03410133719444275
1772363475273401900,0.35940185546875,-0.01521763764321804,-0.00667942687869072,0.01629277877509594
1772363475283470800,0.369470947265625,-0.015187066048383713,-0.0037816364783793688,-0.003130330704152584
1772363475293540600,0.37954052734375,-0.018494712188839912,-0.0011501670815050602,-0.01083379052579403
1772363475303609900,0.38960986328125,-0.014918464235961437,0.013725053519010544,-0.024732859805226326
1772363475313680000,0.399679931640625,0.002410725224763155,0.016840685158967972,-0.030913256108760834
