time,seconds_elapsed,z,y,x
1772363385457678000,0.123677978515625,-0.027515560388565063,-0.01644999161362648,0.016852013766765594
1772363385467748000,0.133748046875,-0.026554424315690994,0.0021063820458948612,0.03632984310388565
1772363385477817000,0.143817138671875,-0.026679620146751404,0.04166035354137421,0.04317009449005127
1772363385487887000,0.15388720703125,-0.014011496677994728,0.02699965424835682,0.028286751359701157
1772363385497956000,0.1639560546875,-0.020226530730724335,-0.016152314841747284,0.029655393213033676
1772363385508026000,0.174026123046875,-0.023183971643447876,-0.03629247099161148,0.0411171056330204
1772363385518095000,0.18409521484375,-0.016356877982616425,-0.024159688502550125,0.04163246974349022
1772363385528165000,0.1941650390625,-0.01908981241285801,-0.012398634105920792,0.036784715950489044
1772363385538235100,0.204235107421875,-0.02173389494419098,-0.01607654057443142,0.0347733348608017
1772363385548304100,0.21430419921875,-0.028083402663469315,-0.0012459284625947475,0.039387259632349014
1772363385558374100,0.2243740234375,-0.023445045575499535,0.030537519603967667,0.021454855799674988
1772363385568443100,0.234443115234375,-0.01614052802324295,0.0363975390791893,0.010934035293757915
1772363385578513200,0.24451318359375,-0.009879198856651783,0.007903752848505974,-0.011356433853507042
1772363385588582100,0.25458203125,0.0035364748910069466,-0.020675960928201675,-0.024373166263103485
1772363385598652200,0.264652099609375,0.007713967002928257,-0.02371337078511715,-0.03104715794324875
1772363385608721000,0.274720947265625,0.009407470934092999,-0.02679464966058731,-0.039156217128038406
1772363385618791200,0.284791259765625,0.00487169623374939,-0.018606966361403465,-0.042949218302965164
1772363385628859400,0.294859375,-0.007143154740333557,0.008846761658787727,-0.03592459857463837
1772363385638929200,0.30492919921875,-0.014282217249274254,0.0353376530110836,-0.017860528081655502
1772363385648999200,0.314999267578125,-0.022220566868782043,0.03573206812143326,-0.006866734009236097
1772363385659068200,0.325068115234375,-0.019863706082105637,0.024424396455287933,0.02268902212381363
1772363385669138200,0.33513818359375,-0.019850656390190125,0.029203172773122787,0.038120973855257034
1772363385679207400,0.34520751953125,-0.014408200047910213,0.011778557673096657,0.04447559267282486
1772363385689277200,0.355277099609375,-0.007021657191216946,-0.015555860474705696,0.041326407343149185
1772363385699346200,0.36534619140625,-0.001421906054019928,-0.027331136167049408,0.03960872441530228
1772363385709416200,0.375416259765625,-0.0033867862075567245,-0.019619153812527657,0.04253580421209335
1772363385719485200,0.385485107421875,-0.002603679895401001,-0.0033085928298532963,0.04859033599495888
1772363385729555200,0.39555517578125,-0.0019927509129047394,0.01287410594522953,0.04614927992224693
1772363385739625200,0.405625244140625,0.0024288524873554707,0.008504174649715424,0.04857202619314194
1772363385749694200,0.415694091796875,0.002827793825417757,0.017552264034748077,0.04978456348180771
1772363385759764200,0.42576416015625,0.0033590784296393394,0.03145984932780266,0.04242229834198952
1772363385769833200,0.435833251953125,0.008908839896321297,0.031978901475667953,0.03260721638798714
1772363385779903200,0.4459033203125,0.01456938311457634,0.02151540480554104,0.021683093160390854
1772363385789972200,0.45597216796875,0.017133207991719246,0.02128690481185913,0.019759491086006165
1772363385800042200,0.466042236328125,0.019203780218958855,0.05418385565280914,0.009044432081282139
1772363385810111200,0.476111328125,0.03072141855955124,0.048960596323013306,0.009674268774688244
1772363385820181200,0.48618115234375,0.038645826280117035,0.04306427761912346,0.013827571645379066
1772363385830250200,0.496250244140625,0.038638900965452194,0.056753724813461304,0.010189693421125412
1772363385840320000,0.506320068359375,0.045712221413850784,0.07560102641582489,-0.0014211609959602356
1772363385850389200,0.51638916015625,0.05892229825258255,0.08917675912380219,-0.009611979126930237
1772363385860459300,0.526459228515625,0.049866337329149246,0.12094917893409729,-0.0007515978068113327
1772363385870529300,0.536529296875,0.055395856499671936,0.13392703235149384,0.0074448129162192345
1772363385880598300,0.546598388671875,0.05473132058978081,0.10572446137666702,0.029398009181022644
1772363385890668000,0.55666796875,0.05157174542546272,0.08029500395059586,0.03907566890120506
1772363385900737300,0.5667373046875,0.045874468982219696,0.061777010560035706,0.046753183007240295
1772363385910807000,0.57680712890625,0.051703594624996185,0.04850461706519127,0.05876857042312622
1772363385920876300,0.586876220703125,0.047011200338602066,0.06103886663913727,0.06658776849508286
1772363385930946000,0.596946044921875,0.0411439873278141,0.07941680401563644,0.07073670625686646
1772363385941015300,0.607015380859375,0.039199694991111755,0.09674476832151413,0.07699082046747208
1772363385951085000,0.6170849609375,0.03334153816103935,0.11049333959817886,0.0882895439863205
1772363385961154300,0.627154296875,0.028939835727214813,0.13084618747234344,0.08956698328256607
1772363385971224300,0.637224365234375,0.03186318650841713,0.14160189032554626,0.08866070955991745
1772363385981293300,0.647293212890625,0.024981874972581863,0.1435181200504303,0.06715176999568939
