time,seconds_elapsed,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1772376348803662000,0.071662109375,-0.4168659602858126,-0.45505964347124095,-0.1633329516351223,0.06723060458898544,-0.10415752232074738,0.03587927296757698
1772376348813612000,0.081612060546875,-0.3273946559362113,-0.5197387441307306,-0.18626432988941669,0.06637971848249435,-0.07635997980833054,0.03857599198818207
1772376348823562000,0.09156201171875,-0.22392624428570268,-0.5555681824028492,-0.22041619033813475,0.06492665410041809,-0.05319491773843765,0.045495953410863876
1772376348833511200,0.10151123046875,-0.08789207233414054,-0.5838800846517086,-0.3093810064703226,0.056998420506715775,-0.03447476029396057,0.05399623140692711
1772376348843461000,0.111461181640625,0.01679521358683705,-0.5873153197973966,-0.42398324494510886,0.041739337146282196,-0.017571058124303818,0.058035045862197876
1772376348853411000,0.1214111328125,0.10291165455058217,-0.5755506477236747,-0.5449877516776322,0.02580377645790577,-0.0015854323282837868,0.07185100018978119
1772376348863360800,0.13136083984375,0.18856208543777464,-0.5054945302009582,-0.5744669441401958,0.005284607410430908,0.01881522312760353,0.09010501950979233
1772376348873311000,0.14131103515625,0.27050518623963,-0.46773909230232236,-0.4609858186498284,-0.010102604515850544,0.03661445900797844,0.10150467604398727
1772376348883261000,0.151260986328125,0.31112726561576126,-0.4566483739674091,-0.3804360719025135,-0.024985704571008682,0.04305122792720795,0.11160299181938171
1772376348893211000,0.1612109375,0.33080461051017046,-0.4599830713480711,-0.37455110551714893,-0.026487194001674652,0.039496444165706635,0.1137646809220314
1772376348903161000,0.1711611328125,0.3072087769977748,-0.49427054087519645,-0.3673211542636156,-0.053176019340753555,0.024480435997247696,0.09777327626943588
1772376348913111000,0.181111083984375,0.3413927861504257,-0.43752690939009187,-0.3222659147456288,-0.06981837749481201,0.017020653933286667,0.089854896068573
1772376348923060000,0.19106005859375,0.38206995671465993,-0.4614589891195297,-0.37287703482508655,-0.07154669612646103,0.0030998270958662033,0.085917629301548
1772376348933010200,0.20101025390625,0.397682682518661,-0.5002162975370884,-0.4385127055570483,-0.06848806142807007,-0.008570943959057331,0.08016626536846161
1772376348942960000,0.210960205078125,0.4097214953586459,-0.5072954421430826,-0.4907742231920361,-0.07817886769771576,-0.025639373809099197,0.07762801647186279
1772376348952909800,0.220909912109375,0.39427871929407116,-0.470585713905096,-0.49620092441588637,-0.0911593809723854,-0.04761897400021553,0.0767502412199974
1772376348962860000,0.230860107421875,0.3986503585070371,-0.4674181897848844,-0.5104711495697498,-0.09623398631811142,-0.0784669816493988,0.07932338118553162
1772376348972810000,0.24081005859375,0.39550256200060246,-0.4455085557937622,-0.539910010021925,-0.09832189977169037,-0.11051706224679947,0.07631320506334305
1772376348982760000,0.250760009765625,0.42068668761774897,-0.39269174236357207,-0.510373826675117,-0.09062306582927704,-0.14210379123687744,0.08213339000940323
1772376348992710100,0.260710205078125,0.4685935171745717,-0.4025613944709301,-0.4653250168979168,-0.0843324139714241,-0.18502302467823029,0.08451292663812637
1772376349002660000,0.27066015625,0.5091704422347247,-0.43318800340294833,-0.4333522540539503,-0.06897403299808502,-0.2351299226284027,0.07663854211568832
1772376349012609000,0.280609130859375,0.5280518144458533,-0.4728355386584997,-0.4395470170408487,-0.062369659543037415,-0.2973594665527344,0.0712786614894867
1772376349022559000,0.29055908203125,0.4990041452683508,-0.5361591330558061,-0.5205351552054286,-0.05433124676346779,-0.3435458838939667,0.06346163153648376
1772376349032509200,0.30050927734375,0.49655251433253283,-0.5586123724043369,-0.6194330440700054,-0.06358200311660767,-0.3711538016796112,0.0567438080906868
1772376349042459100,0.310459228515625,0.5760515829831362,-0.5925526359289884,-0.6898176628947258,-0.07776849716901779,-0.3876471221446991,0.05518427863717079
1772376349052408800,0.320408935546875,0.6973338837437332,-0.5579442638844251,-0.7714443912237882,-0.09574483335018158,-0.3950709402561188,0.06100408360362053
1772376349062359000,0.330359130859375,0.8072241451352834,-0.5314163224428892,-0.9530763851374388,-0.11086098104715347,-0.388377845287323,0.07427559792995453
1772376349072309000,0.34030908203125,0.9112911072008312,-0.4890998602390289,-1.0930208624005318,-0.13179528713226318,-0.37702053785324097,0.09035230427980423
1772376349082259000,0.350259033203125,0.9625523617520928,-0.47309448185563086,-1.1023849030733108,-0.15386559069156647,-0.3704287111759186,0.10098491609096527
1772376349092209200,0.360209228515625,0.9272716434039175,-0.5117132585853338,-1.0937558986768126,-0.16255494952201843,-0.37638619542121887,0.10535995662212372
1772376349102158000,0.370157958984375,0.834139770720154,-0.5807201593160629,-1.200955751940608,-0.17449887096881866,-0.37577006220817566,0.0996832326054573
1772376349112108000,0.38010791015625,0.7413267547272145,-0.7703922518223524,-1.1305337237149475,-0.22079339623451233,-0.375747948884964,0.10283827781677246
1772376349122058000,0.39005810546875,0.635900925398618,-0.9284884718477725,-1.0508382557094096,-0.27229583263397217,-0.3944517970085144,0.10467410087585449
1772376349132008200,0.40000830078125,0.3858241946816444,-0.8737894979327917,-1.2882739699095487,-0.31296977400779724,-0.41584286093711853,0.10385038703680038
1772376349141958000,0.4099580078125,0.1798382423646748,-0.6418798536777496,-1.556826706907153,-0.3134612441062927,-0.432585209608078,0.11520767956972122
1772376349151907800,0.419907958984375,-0.09453662491515279,-0.13176409341692924,-1.8365601786106824,-0.28934499621391296,-0.454108864068985,0.11417756229639053
